phrase,site,timestamp,frequency
phrase_159,site_127,2008-12-12 12:10:53,73
phrase_95,site_10,2008-11-13 00:23:12,91
phrase_378,site_73,2008-09-10 18:04:20,76
phrase_474,site_133,2008-10-07 16:39:54,55
phrase_125,site_169,2008-11-28 15:59:00,42
phrase_435,site_164,2008-11-19 19:37:46,50
phrase_200,site_93,2008-09-30 15:55:16,40
phrase_391,site_127,2008-09-10 14:39:12,3
phrase_60,site_7,2008-09-17 09:26:39,37
phrase_263,site_191,2008-10-05 06:01:23,75
phrase_147,site_165,2008-09-24 03:04:16,34
phrase_500,site_102,2008-11-12 03:46:37,7
phrase_29,site_168,2008-11-22 11:58:14,44
phrase_184,site_7,2008-11-03 15:47:45,18
phrase_275,site_186,2008-11-29 00:50:54,37
phrase_418,site_12,2008-11-24 03:47:27,67
phrase_42,site_150,2008-10-23 23:02:29,86
phrase_101,site_188,2008-12-21 22:32:09,48
phrase_371,site_116,2008-12-24 01:14:50,55
phrase_251,site_34,2008-11-01 22:52:31,90
phrase_402,site_185,2008-12-04 00:36:13,45
phrase_327,site_113,2008-09-11 15:38:22,32
phrase_187,site_187,2008-10-10 02:52:47,46
phrase_76,site_160,2008-09-11 21:46:35,49
phrase_158,site_70,2008-11-19 17:29:49,46
phrase_148,site_71,2008-10-11 14:26:10,84
phrase_457,site_167,2008-11-08 14:39:35,81
phrase_497,site_15,2008-10-09 17:52:11,41
phrase_300,site_114,2008-10-27 12:02:06,5
phrase_382,site_159,2008-09-15 12:11:36,65
phrase_416,site_99,2008-11-07 16:17:16,51
phrase_58,site_69,2008-10-21 15:49:32,53
phrase_462,site_108,2008-11-14 06:06:02,13
phrase_134,site_96,2008-12-15 12:18:01,10
phrase_351,site_53,2008-11-06 15:51:04,29
phrase_297,site_199,2008-12-15 01:51:13,58
phrase_477,site_119,2008-10-22 07:35:09,13
phrase_105,site_46,2008-12-05 16:38:42,66
phrase_215,site_199,2008-12-19 08:00:40,38
phrase_115,site_96,2008-12-28 00:41:24,22
phrase_325,site_162,2008-10-12 13:39:03,96
phrase_376,site_41,2008-10-29 09:03:18,58
phrase_290,site_143,2008-11-22 07:26:33,42
phrase_354,site_54,2008-12-29 05:56:40,84
phrase_380,site_24,2008-11-07 01:31:41,54
phrase_52,site_40,2008-09-13 02:24:07,9
phrase_390,site_117,2008-11-05 10:39:02,51
phrase_499,site_126,2008-09-05 00:04:56,12
phrase_210,site_149,2008-09-24 08:51:27,64
phrase_211,site_170,2008-12-16 06:43:29,63
phrase_449,site_83,2008-09-11 22:23:31,47
phrase_36,site_153,2008-12-16 13:05:09,90
phrase_47,site_39,2008-11-09 15:22:26,43
phrase_19,site_182,2008-11-11 23:51:07,64
