user_who_retweeted,original_user,timestamp
SamsonMusa20,FabrizioRomano,2025-07-06 21:52:33.895430
Uk_Xiptv,FabrizioRomano,2025-07-06 21:52:33.895430
matt198620,FabrizioRomano,2025-07-06 21:52:33.895430
ThiLmNguynCng1,FabrizioRomano,2025-07-06 21:52:33.895430
YEAH_6_,FabrizioRomano,2025-07-06 21:52:33.895430
bhuvansharma766,FabrizioRomano,2025-07-06 21:52:33.895430
OkeensOi,FabrizioRomano,2025-07-06 21:52:33.895430
krischenath,FabrizioRomano,2025-07-06 21:52:33.895430
Gdegentleman_,FabrizioRomano,2025-07-06 21:52:33.895430
blak_padluck,FabrizioRomano,2025-07-06 21:52:33.895430
MohsinA24892532,FabrizioRomano,2025-07-06 21:52:33.895430
KellyDjokerrrrr,FabrizioRomano,2025-07-06 21:52:33.895430
Saint_Mor1,FabrizioRomano,2025-07-06 21:52:33.895430
yuvasubra,FabrizioRomano,2025-07-06 21:52:33.895430
LynneLin265269,FabrizioRomano,2025-07-06 21:52:33.895430
muhdkhalil07,FabrizioRomano,2025-07-06 21:52:33.895430
glenn_tonny,FabrizioRomano,2025-07-06 21:52:33.895430
Ianjane_,FabrizioRomano,2025-07-06 21:52:33.895430
AgboChijioke121,FabrizioRomano,2025-07-06 21:52:33.895430
SirMusty5050,FabrizioRomano,2025-07-06 21:52:33.895430
thechoicepress_,FabrizioRomano,2025-07-06 21:52:33.895430
Obanks_bundu,FabrizioRomano,2025-07-06 21:52:33.895430
AntonTs2,FabrizioRomano,2025-07-06 21:52:33.895430
Owurajunior1,FabrizioRomano,2025-07-06 21:52:33.895430
machalaGNF,FabrizioRomano,2025-07-06 21:52:33.895430
juan_crm,FabrizioRomano,2025-07-06 21:52:33.895430
rosewood_l49952,FabrizioRomano,2025-07-06 21:52:33.895430
Stevydomiles,FabrizioRomano,2025-07-06 21:52:33.895430
SambaMakou,FabrizioRomano,2025-07-06 21:52:33.895430
nathan_bfc_8,FabrizioRomano,2025-07-06 21:52:33.895430
AbiaAbraham2,FabrizioRomano,2025-07-06 21:52:33.895430
paul_konko,FabrizioRomano,2025-07-06 21:52:33.895430
Samuelinno10,FabrizioRomano,2025-07-06 21:52:33.895430
zioncrime_tech,FabrizioRomano,2025-07-06 21:52:33.895430
