user_who_retweeted,original_user,timestamp
luisguy61,LuisSuarez9,2025-07-07 15:27:24.558338
M40663720Daniel,LuisSuarez9,2025-07-07 15:27:24.558338
LesiMaty,LuisSuarez9,2025-07-07 15:27:24.558338
prapoline66,LuisSuarez9,2025-07-07 15:27:24.558338
ADEOLA619243700,LuisSuarez9,2025-07-07 15:27:24.558338
lisaf881,LuisSuarez9,2025-07-07 15:27:24.558338
FRCFF31,LuisSuarez9,2025-07-07 15:27:24.558338
CruzAvila_2006,LuisSuarez9,2025-07-07 15:27:24.558338
HIsaac15_,LuisSuarez9,2025-07-07 15:27:24.558338
Navaneethnav5,LuisSuarez9,2025-07-07 15:27:24.558338
MelissaF_18,LuisSuarez9,2025-07-07 15:27:24.558338
saintscooby1,LuisSuarez9,2025-07-07 15:27:24.558338
Marcelo_L_Ramos,LuisSuarez9,2025-07-07 15:27:24.558338
chriger76,LuisSuarez9,2025-07-07 15:27:24.558338
SoleBolso9,LuisSuarez9,2025-07-07 15:27:24.558338
Ernestopascual,LuisSuarez9,2025-07-07 15:27:24.558338
ElTotoroy,LuisSuarez9,2025-07-07 15:27:24.558338
FreshTasteOne,LuisSuarez9,2025-07-07 15:27:24.558338
CausesDowson,LuisSuarez9,2025-07-07 15:27:24.558338
abc_rambo,LuisSuarez9,2025-07-07 15:27:24.558338
So_curtis_26,LuisSuarez9,2025-07-07 15:27:24.558338
garbadaru,LuisSuarez9,2025-07-07 15:27:24.558338
perryveli,LuisSuarez9,2025-07-07 15:27:24.558338
Alphaamado97061,LuisSuarez9,2025-07-07 15:27:24.558338
PAULATTAH14,LuisSuarez9,2025-07-07 15:27:24.558338
IsabellaF1890,LuisSuarez9,2025-07-07 15:27:24.558338
Tayothehustler,LuisSuarez9,2025-07-07 15:27:24.558338
Youngnba72,LuisSuarez9,2025-07-07 15:27:24.558338
kari10984,LuisSuarez9,2025-07-07 15:27:24.558338
OmarGunners18,LuisSuarez9,2025-07-07 15:27:24.558338
Nolan2s,LuisSuarez9,2025-07-07 15:27:24.558338
SONOFKINGDAVE,LuisSuarez9,2025-07-07 15:27:24.558338
JLSESI90,LuisSuarez9,2025-07-07 15:27:24.558338
Esteban41073286,LuisSuarez9,2025-07-07 15:27:24.558338
OwurahJ,LuisSuarez9,2025-07-07 15:27:24.558338
RichardPrez15,LuisSuarez9,2025-07-07 15:27:24.558338
PRowlland,LuisSuarez9,2025-07-07 15:27:24.558338
BigShortRare,LuisSuarez9,2025-07-07 15:27:24.558338
TunchieRj7,LuisSuarez9,2025-07-07 15:27:24.558338
OmotolaAdeyink1,LuisSuarez9,2025-07-07 15:27:24.558338
Deiver741165559,LuisSuarez9,2025-07-07 15:27:24.558338
ORIJINAL412306,LuisSuarez9,2025-07-07 15:27:24.558338
Cfc_Ade,LuisSuarez9,2025-07-07 15:27:24.558338
elprincetee,LuisSuarez9,2025-07-07 15:27:24.558338
RENDAN_1,LuisSuarez9,2025-07-07 15:27:24.558338
bhadext,LuisSuarez9,2025-07-07 15:27:24.558338
ricchie_kay,LuisSuarez9,2025-07-07 15:27:24.558338
Lil77Gen,LuisSuarez9,2025-07-07 15:27:24.558338
MphotantDj,LuisSuarez9,2025-07-07 15:27:24.558338
intheunderwor,LuisSuarez9,2025-07-07 15:27:24.558338
