user_who_retweeted,original_user,timestamp
SamsonMusa20,FabrizioRomano,2025-07-02 07:58:10.295216
Uk_Xiptv,FabrizioRomano,2025-07-11 02:38:51.421914
matt198620,FabrizioRomano,2025-07-02 01:23:59.628113
ThiLmNguynCng1,FabrizioRomano,2025-07-02 13:48:35.919763
YEAH_6_,FabrizioRomano,2025-07-06 09:26:49.259759
bhuvansharma766,FabrizioRomano,2025-07-06 12:08:31.023869
OkeensOi,FabrizioRomano,2025-07-06 08:56:18.733422
krischenath,FabrizioRomano,2025-07-05 12:32:27.410108
Gdegentleman_,FabrizioRomano,2025-07-11 20:27:13.605658
blak_padluck,FabrizioRomano,2025-07-09 14:17:02.584745
MohsinA24892532,FabrizioRomano,2025-07-09 07:13:04.180326
KellyDjokerrrrr,FabrizioRomano,2025-07-09 07:14:41.058411
Saint_Mor1,FabrizioRomano,2025-07-09 01:27:00.909521
yuvasubra,FabrizioRomano,2025-07-10 07:22:19.952395
LynneLin265269,FabrizioRomano,2025-07-11 00:19:27.927983
muhdkhalil07,FabrizioRomano,2025-07-07 23:13:58.911268
glenn_tonny,FabrizioRomano,2025-07-06 22:58:34.321636
Ianjane_,FabrizioRomano,2025-07-09 14:38:32.495533
AgboChijioke121,FabrizioRomano,2025-07-09 12:24:06.249424
SirMusty5050,FabrizioRomano,2025-07-06 07:37:40.580448
thechoicepress_,FabrizioRomano,2025-07-06 13:44:32.251647
Obanks_bundu,FabrizioRomano,2025-07-01 18:42:53.000819
AntonTs2,FabrizioRomano,2025-07-02 18:51:01.976773
Owurajunior1,FabrizioRomano,2025-07-01 03:20:44.981714
machalaGNF,FabrizioRomano,2025-07-03 12:23:10.494962
juan_crm,FabrizioRomano,2025-07-07 17:18:19.424201
rosewood_l49952,FabrizioRomano,2025-07-04 07:28:35.525183
Stevydomiles,FabrizioRomano,2025-07-05 09:10:34.129452
SambaMakou,FabrizioRomano,2025-07-03 11:56:46.971639
nathan_bfc_8,FabrizioRomano,2025-07-04 20:52:32.664523
AbiaAbraham2,FabrizioRomano,2025-07-04 09:21:00.093253
paul_konko,FabrizioRomano,2025-07-01 15:22:31.237931
Samuelinno10,FabrizioRomano,2025-07-08 02:59:31.448867
zioncrime_tech,FabrizioRomano,2025-07-06 08:53:09.445493
yo_richhomie,FabrizioRomano,2025-07-02 13:09:44.256870
aduderek23,FabrizioRomano,2025-07-06 05:36:19.723702
oivasdominic,FabrizioRomano,2025-07-01 17:57:28.194220
utdruby,FabrizioRomano,2025-07-08 12:35:59.825533
Kellymighty2,FabrizioRomano,2025-07-08 18:31:04.864192
WebsyteGerald,FabrizioRomano,2025-07-03 16:30:54.477177
Muhsankul,FabrizioRomano,2025-07-07 10:06:13.439980
bills_walk5052,FabrizioRomano,2025-07-08 11:16:00.076230
LaBonnePiochee,FabrizioRomano,2025-07-05 13:44:09.548527
vibewitdan,FabrizioRomano,2025-07-04 13:40:33.643250
maqsud_sagagi,FabrizioRomano,2025-07-05 13:39:11.454280
DJMAOSH3,FabrizioRomano,2025-07-02 12:10:59.232000
Fresh_Josh,FabrizioRomano,2025-07-08 16:38:11.648362
mitch_6190,FabrizioRomano,2025-07-10 09:20:49.885507
tumRutchapon,FabrizioRomano,2025-07-06 16:24:06.838560
Theophilus61742,FabrizioRomano,2025-07-06 13:31:44.767677
Sobza_iiHlubi,FabrizioRomano,2025-07-03 03:24:19.815174
AfiqZaid,FabrizioRomano,2025-07-10 07:43:05.584945
bsg0604,FabrizioRomano,2025-07-08 11:36:48.589148
aly_desk,FabrizioRomano,2025-07-02 13:38:10.050273
pariskhairullah,FabrizioRomano,2025-07-05 04:25:11.001818
fat_boyz_,FabrizioRomano,2025-07-10 14:17:37.041010
Oshoja_jr,FabrizioRomano,2025-07-11 07:30:44.657295
Mhammaduaminupc,FabrizioRomano,2025-07-09 21:25:42.572493
BigMcYNWA17,FabrizioRomano,2025-07-05 18:22:56.434587
Greg205467,FabrizioRomano,2025-07-07 13:55:46.179243
kloy777,FabrizioRomano,2025-07-04 07:10:58.646988
RaymondMen468,FabrizioRomano,2025-07-08 14:40:22.247671
Kaycool007,FabrizioRomano,2025-07-10 20:32:16.752560
fcbarca233,FabrizioRomano,2025-07-07 12:38:35.046050
Rio7s2,FabrizioRomano,2025-07-08 04:28:23.509337
chill_xone,FabrizioRomano,2025-07-10 15:14:29.373650
Gyai_Gyimi3,FabrizioRomano,2025-07-03 21:32:18.269121
umarmjibrin3,FabrizioRomano,2025-07-12 06:17:42.155434
phancyboi,FabrizioRomano,2025-07-02 18:53:51.455066
AngMy82347,FabrizioRomano,2025-07-04 20:53:26.688890
ticklefari,FabrizioRomano,2025-07-11 23:46:48.285752
Tppiingz,FabrizioRomano,2025-07-07 01:54:54.317141
bishopjoshua007,FabrizioRomano,2025-07-03 10:44:29.851762
samsonoppong10,FabrizioRomano,2025-07-06 11:14:35.918702
HanhTeri84552,FabrizioRomano,2025-07-09 18:02:46.332162
The__Lieutenant,FabrizioRomano,2025-07-12 15:49:45.647379
YeboahEmma73513,FabrizioRomano,2025-07-01 06:47:38.640996
VibesY171890,FabrizioRomano,2025-07-09 07:24:33.772892
haizal10,FabrizioRomano,2025-07-01 20:06:52.298693
iam_djsutton,FabrizioRomano,2025-07-07 04:24:41.318400
calypso_davinci,FabrizioRomano,2025-07-07 01:18:33.569670
HoodstarToni,FabrizioRomano,2025-07-06 16:18:15.831342
rc7rc7,FabrizioRomano,2025-07-05 03:36:30.732657
Muhammadlawal47,FabrizioRomano,2025-07-04 04:35:37.220075
Nahzree,FabrizioRomano,2025-07-04 12:50:45.420023
WasedWrusader,FabrizioRomano,2025-07-12 05:44:24.994871
cannabay420,FabrizioRomano,2025-07-03 01:51:07.792613
Lakinho21,FabrizioRomano,2025-07-09 13:48:54.320245
FlawToby,FabrizioRomano,2025-07-06 06:27:28.215191
andrethemage,FabrizioRomano,2025-07-06 22:13:29.203772
skriladrilla,FabrizioRomano,2025-07-10 09:37:54.099345
gabogalescoau,FabrizioRomano,2025-07-06 08:25:03.052951
AMORIM3RA,FabrizioRomano,2025-07-06 02:09:21.967296
JusticeKAmoah2,FabrizioRomano,2025-07-08 06:44:16.493044
michaelsyl10,FabrizioRomano,2025-07-04 16:23:36.124715
YRafindadi,FabrizioRomano,2025-07-04 05:50:06.397137
jhaydee_x,FabrizioRomano,2025-07-01 22:26:01.210824
muthuri_andrew,FabrizioRomano,2025-07-10 03:55:35.080990
